X,Y,LICENSE,APPLICANT,TRADE_NAME,CLASS,ADDRESS,ZIPCODE,WARD,ANC,SMD,STATUS,TYPE,BREW_PUB,ENTERTAINMENT,SALES_CONSUMPTION,SIDEWALK_CAFE,SUMMER_GARDEN,TASTING,WINE_PUB,COVERCHARGE,DANCING,OFFPREMISESTORAGE,STORAGEFACILITY,DISTILLERY_PUB,TOTAL_CAPACITY,GAMES_OF_SKILL,SPORTS_WAGGERING,CARRYOUT_DELIVERY,MAR_ID,XCOORD,YCOORD,LONGITUDE,LATITUDE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID
-76.9783965123123,38.9284646463461,ABRA-072215,"Blue Nile Liquors, LLC",Rhode Island Liquor,A,1812 HAMLIN STREET NE,20018,Ward 5,ANC 5C,SMD 5C07,Active,Retail - Liquor Store,,,,,,CHECKED,,,,,,,,,,,307544,401873.42,140064.47,-76.97839423,38.92845685,ABRALicenseePt_334,{29B9711F-4AA6-4155-B2E4-B8EA7E3B116C},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5134
-77.0845537945931,38.9597375211505,ABRA-072256,"Maggiano's Holding Corporation, ATTN: Legal Dept.",Maggiano's,C,5333 WISCONSIN AVENUE NW,20015,Ward 3,ANC 3E,SMD 3E04,Active,Restaurant,,CHECKED,,CHECKED,,,,,,,,,766,,,CHECKED,265947,392671.82,143539.21,-77.08455148,38.95972972,ABRALicenseePt_335,{740A17E1-8FC9-40EA-A337-81C3A48B0B4F},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5135
-77.0253920115151,38.9201639775421,ABRA-072260,Mok Ju Na,Daily Fish Of Chesapeake,B,2250 SHERMAN AVENUE NW,20001,Ward 1,ANC 1B,SMD 1B11,Active,Retail - Grocery,,,,,,,,,,,,,,,,,284324,397798.22,139143.11,-77.02538972,38.92015652,ABRALicenseePt_336,{1EE0F01F-9706-4845-88DA-1483BAB4E9F5},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5136
-77.0008105324938,38.9208715453641,ABRA-072301,"Sylvia & David Industries, Inc",Sosnick's Liquor,A,2318 4TH STREET NE,20002,Ward 5,ANC 5E,SMD 5E10,Active,Retail - Liquor Store,,,,,,,,,,,,,,,,,48629,399929.91,139221.35,-77.00080825,38.92086409,ABRALicenseePt_337,{86CA4963-5FFD-4E14-92E9-E2B31FA9644B},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5137
-77.0387227691932,38.9168568753127,ABRA-072334,MMGZ Incorporated,Benmoll Liquors,A,1700 U STREET NW,20009,Ward 2,ANC 2B,SMD 2B08,Active,Retail - Liquor Store,,,,,,CHECKED,,,,,,,,,,,243330,396642.03,138776.4,-77.03872047,38.91684942,ABRALicenseePt_338,{7A8F9166-9417-49F7-B272-2626548C6070},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5138
-77.0523680852078,38.9237245508172,ABRA-072380,Third Place Inc.,Open City,C,2331 CALVERT STREET NW,20008,Ward 3,ANC 3C,SMD 3C02,Active,Restaurant,,,,CHECKED,,,,,,,,,137,,,CHECKED,219096,395459.1,139539.36,-77.05236578,38.92371709,ABRALicenseePt_339,{DFF9E06B-E690-480D-B7BF-CA3563188184},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5139
-77.0574270923058,38.9344886407834,ABRA-072420,Yanlim Inc.,Spices Restaurant,Caterer,3333 CONNECTICUT AVENUE NW,20008,Ward 3,ANC 3C,SMD 3C04,Active,Caterer,,,,,,,,,,,,,,,,,284639,395021.16,140734.53,-77.05742479,38.93448118,ABRALicenseePt_340,{40095AB9-EF53-4541-A969-33B69E104075},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5140
-77.0277914567673,38.9168580949081,ABRA-072469,"Zewdie, Inc.",Dukem Ethiopian Restaurant & Market/Apple Lounge,C,1114 U STREET NW,20009,Ward 1,ANC 1B,SMD 1B02,Active,Restaurant,,CHECKED,,CHECKED,,,,CHECKED,CHECKED,,,,166,,,CHECKED,301967,397590.03,138776.19,-77.02778916,38.91685064,ABRALicenseePt_341,{E08CCE66-ED10-4292-8EEE-5D6D7F912662},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5141
-77.0316482874874,38.93107710949,ABRA-072580,"Giant of Maryland, LLC",Giant Food Store #378,B,1345 PARK ROAD NW,20010,Ward 1,ANC 1A,SMD 1A05,Active,Retail - Grocery,,,,,,CHECKED,,,,,,,,,,,297595,397256.1,140354.73,-77.03164599,38.93106932,ABRALicenseePt_342,{4B972863-8C79-4817-82AB-89F8D509B9F6},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5142
-76.9979173853507,38.8850154826374,ABRA-072633,"18th Amendment, LLC",Barrel,C,613 PENNSYLVANIA AVENUE SE,20003,Ward 6,ANC 6B,SMD 6B02,About to Expire,Tavern,,CHECKED,,CHECKED,,,,,,,,,99,,,CHECKED,4406,400180.89,135241.04,-76.9979151,38.88500803,ABRALicenseePt_343,{45E90EE7-C8E3-4E5B-874D-6010912C6CAE},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5143
-76.9893731151146,38.9003838411061,ABRA-072783,"Bee Hive, LLC",Sticky Rice /Sing Sing Karaoke Palace,C,1222 H STREET NE,20002,Ward 6,ANC 6A,SMD 6A01,Active,Restaurant,,CHECKED,,,CHECKED,,,,,,,,199,,,CHECKED,70988,400922.01,136947.1,-76.98937083,38.90037639,ABRALicenseePt_344,{F4AF316B-B91E-4E45-BAA6-2C84EBA3AC62},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5144
-76.988932154878,38.9004121765031,ABRA-072792,Granville Moore's Brickyard LLC,Granville Moore's Brickyard,C,1238 H STREET NE,20002,Ward 6,ANC 6A,SMD 6A01,Active,Restaurant,,CHECKED,,,CHECKED,,,,,,,,109,,,CHECKED,70241,400960.26,136950.25,-76.98892987,38.90040439,ABRALicenseePt_345,{AE0104E8-DDEB-4D5C-B9B4-CAC96F7322C8},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5145
-77.0285486941924,38.9010208794398,ABRA-073165,Strathroy Park Corp.,Bobby Van's Grill,C,1201 NEW YORK AVENUE NW,20005,Ward 2,ANC 2C,SMD 2C01,Active,Restaurant,,CHECKED,,CHECKED,,,,,,,,,536,,,CHECKED,278918,397523.81,137018.15,-77.0285464,38.90101343,ABRALicenseePt_346,{31CFF655-5FC4-4756-AC7E-F8D0DAF77E71},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5146
-76.989037406011,38.900424527878,ABRA-073166,"The Pug, LLC",The Pug/Toki Underground,C,1234 H STREET NE,20002,Ward 6,ANC 6A,SMD 6A01,About to Expire,Tavern,,,,,,,,,,,,,99,,,CHECKED,70292,400951.13,136951.62,-76.98903513,38.90041707,ABRALicenseePt_347,{2A5DDA60-DB0F-4CF6-9522-21AE37A0713A},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5147
