Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
"11001009903","Census Tract 99.03, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000194",,,,,"11","001",,,"009903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001009903","Census Tract 99.03",,,,623,27,14,29,15,30,27,69,2,75,16,53,23,41,70,62,70,4.33,2.25,4.65,2.41,4.82,4.33,11.08,0.32,12.04,2.57,8.51,3.69,6.58,11.24,9.95,11.24
"11001009904","Census Tract 99.04, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000195",,,,,"11","001",,,"009904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001009904","Census Tract 99.04",,,,1089,195,68,34,41,38,25,23,56,96,29,64,137,93,47,19,124,17.91,6.24,3.12,3.76,3.49,2.3,2.11,5.14,8.82,2.66,5.88,12.58,8.54,4.32,1.74,11.39
"11001009905","Census Tract 99.05, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000196",,,,,"11","001",,,"009905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001009905","Census Tract 99.05",,,,1150,217,91,167,0,20,21,18,32,8,190,49,161,9,78,39,50,18.87,7.91,14.52,0,1.74,1.83,1.57,2.78,0.7,16.52,4.26,14,0.78,6.78,3.39,4.35
"11001009906","Census Tract 99.06, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000197",,,,,"11","001",,,"009906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001009906","Census Tract 99.06",,,,849,73,94,104,58,39,41,37,20,34,85,132,46,13,19,34,20,8.6,11.07,12.25,6.83,4.59,4.83,4.36,2.36,4,10.01,15.55,5.42,1.53,2.24,4,2.36
"11001009907","Census Tract 99.07, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000198",,,,,"11","001",,,"009907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001009907","Census Tract 99.07",,,,990,138,25,73,71,63,121,59,12,22,104,81,123,0,20,67,11,13.94,2.53,7.37,7.17,6.36,12.22,5.96,1.21,2.22,10.51,8.18,12.42,0,2.02,6.77,1.11
"11001010100","Census Tract 101, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000199",,,,,"11","001",,,"010100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010100","Census Tract 101",,,,1709,114,35,21,41,38,20,7,38,73,62,163,162,144,154,166,471,6.67,2.05,1.23,2.4,2.22,1.17,0.41,2.22,4.27,3.63,9.54,9.48,8.43,9.01,9.71,27.56
"11001010201","Census Tract 102.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000200",,,,,"11","001",,,"010201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010201","Census Tract 102.01",,,,1556,34,80,37,17,34,10,21,70,43,104,92,323,193,114,109,275,2.19,5.14,2.38,1.09,2.19,0.64,1.35,4.5,2.76,6.68,5.91,20.76,12.4,7.33,7.01,17.67
"11001010202","Census Tract 102.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000201",,,,,"11","001",,,"010202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010202","Census Tract 102.02",,,,870,17,2,0,127,13,21,0,0,5,16,122,110,118,60,82,177,1.95,0.23,0,14.6,1.49,2.41,0,0,0.57,1.84,14.02,12.64,13.56,6.9,9.43,20.34
"11001010300","Census Tract 103, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000202",,,,,"11","001",,,"010300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010300","Census Tract 103",,,,1374,71,32,37,40,56,127,34,42,0,65,35,174,156,60,191,254,5.17,2.33,2.69,2.91,4.08,9.24,2.47,3.06,0,4.73,2.55,12.66,11.35,4.37,13.9,18.49
"11001010400","Census Tract 104, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000203",,,,,"11","001",,,"010400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010400","Census Tract 104",,,,2168,240,127,0,95,41,108,97,50,135,101,35,421,62,36,386,234,11.07,5.86,0,4.38,1.89,4.98,4.47,2.31,6.23,4.66,1.61,19.42,2.86,1.66,17.8,10.79
"11001010500","Census Tract 105, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000204",,,,,"11","001",,,"010500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010500","Census Tract 105",,,,2153,202,115,32,13,0,64,71,39,71,164,174,169,192,171,299,377,9.38,5.34,1.49,0.6,0,2.97,3.3,1.81,3.3,7.62,8.08,7.85,8.92,7.94,13.89,17.51
"11001010601","Census Tract 106.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000205",,,,,"11","001",,,"010601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010601","Census Tract 106.01",,,,1044,146,0,15,72,0,0,0,6,22,27,57,223,163,189,55,69,13.98,0,1.44,6.9,0,0,0,0.57,2.11,2.59,5.46,21.36,15.61,18.1,5.27,6.61
"11001010602","Census Tract 106.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000206",,,,,"11","001",,,"010602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010602","Census Tract 106.02",,,,2282,47,77,20,25,106,6,25,43,37,23,186,160,221,136,512,658,2.06,3.37,0.88,1.1,4.65,0.26,1.1,1.88,1.62,1.01,8.15,7.01,9.68,5.96,22.44,28.83
"11001010603","Census Tract 106.03, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000207",,,,,"11","001",,,"010603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010603","Census Tract 106.03",,,,1038,27,43,0,8,8,0,2,0,6,80,0,218,261,106,93,186,2.6,4.14,0,0.77,0.77,0,0.19,0,0.58,7.71,0,21,25.14,10.21,8.96,17.92
"11001010700","Census Tract 107, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000208",,,,,"11","001",,,"010700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010700","Census Tract 107",,,,1205,117,17,0,17,16,49,24,79,0,62,47,200,88,102,323,64,9.71,1.41,0,1.41,1.33,4.07,1.99,6.56,0,5.15,3.9,16.6,7.3,8.46,26.8,5.31
"11001010800","Census Tract 108, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000209",,,,,"11","001",,,"010800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010800","Census Tract 108",,,,741,177,47,19,16,2,120,4,13,27,40,78,35,33,13,53,64,23.89,6.34,2.56,2.16,0.27,16.19,0.54,1.75,3.64,5.4,10.53,4.72,4.45,1.75,7.15,8.64
"11001010900","Census Tract 109, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000210",,,,,"11","001",,,"010900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010900","Census Tract 109",,,,1146,183,100,118,53,46,0,98,25,73,81,55,100,100,52,36,26,15.97,8.73,10.3,4.62,4.01,0,8.55,2.18,6.37,7.07,4.8,8.73,8.73,4.54,3.14,2.27
"11001011001","Census Tract 110.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000211",,,,,"11","001",,,"011001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001011001","Census Tract 110.01",,,,1395,94,36,0,0,17,74,62,45,101,48,96,69,231,146,239,137,6.74,2.58,0,0,1.22,5.3,4.44,3.23,7.24,3.44,6.88,4.95,16.56,10.47,17.13,9.82
"11001011002","Census Tract 110.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000212",,,,,"11","001",,,"011002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001011002","Census Tract 110.02",,,,1205,119,18,16,16,16,71,14,15,0,92,115,92,113,137,103,268,9.88,1.49,1.33,1.33,1.33,5.89,1.16,1.24,0,7.63,9.54,7.63,9.38,11.37,8.55,22.24
"11001011100","Census Tract 111, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000213",,,,,"11","001",,,"011100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001011100","Census Tract 111",,,,1647,142,290,62,29,40,52,4,53,66,63,90,184,198,42,110,222,8.62,17.61,3.76,1.76,2.43,3.16,0.24,3.22,4.01,3.83,5.46,11.17,12.02,2.55,6.68,13.48
"11001980000","Census Tract 9800, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000214",,,,,"11","001",,,"980000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001980000","Census Tract 9800",,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
