Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00002_001,SE_A00002_002,SE_A00002_003
"11001001901","Census Tract 19.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000042",,,,,"11","001",,,"001901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001001901","Census Tract 19.01",,,,4220,14207.32,0.297029947629101
"11001001902","Census Tract 19.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000043",,,,,"11","001",,,"001902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001001902","Census Tract 19.02",,,,2460,7262.096,0.338745198819454
"11001002001","Census Tract 20.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000044",,,,,"11","001",,,"002001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002001","Census Tract 20.01",,,,3578,14646.16,0.244296112568861
"11001002002","Census Tract 20.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000045",,,,,"11","001",,,"002002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002002","Census Tract 20.02",,,,4440,13538.82,0.327945920984962
"11001002101","Census Tract 21.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000046",,,,,"11","001",,,"002101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002101","Census Tract 21.01",,,,5693,24534.11,0.232044318352054
"11001002102","Census Tract 21.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000047",,,,,"11","001",,,"002102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002102","Census Tract 21.02",,,,5607,20003.53,0.280300526488926
"11001002201","Census Tract 22.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000048",,,,,"11","001",,,"002201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002201","Census Tract 22.01",,,,3557,22189.76,0.160299198297444
"11001002202","Census Tract 22.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000049",,,,,"11","001",,,"002202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002202","Census Tract 22.02",,,,3223,11943.9,0.269844879590176
"11001002301","Census Tract 23.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000050",,,,,"11","001",,,"002301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002301","Census Tract 23.01",,,,3439,21847.99,0.157405748598063
"11001002302","Census Tract 23.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000051",,,,,"11","001",,,"002302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002302","Census Tract 23.02",,,,1624,2091.646,0.776422130141143
"11001002400","Census Tract 24, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000052",,,,,"11","001",,,"002400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002400","Census Tract 24",,,,4061,18903.29,0.214830338982266
"11001002501","Census Tract 25.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000053",,,,,"11","001",,,"002501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002501","Census Tract 25.01",,,,3392,16165.38,0.209831088020485
"11001002503","Census Tract 25.03, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000054",,,,,"11","001",,,"002503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002503","Census Tract 25.03",,,,3158,28000.83,0.11278237582568
"11001002504","Census Tract 25.04, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000055",,,,,"11","001",,,"002504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002504","Census Tract 25.04",,,,3867,32129.64,0.120356156090298
"11001002600","Census Tract 26, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000056",,,,,"11","001",,,"002600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002600","Census Tract 26",,,,2746,3376.828,0.813189095856815
"11001002702","Census Tract 27.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000057",,,,,"11","001",,,"002702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002702","Census Tract 27.02",,,,6055,32738.32,0.18495143606843
"11001002703","Census Tract 27.03, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000058",,,,,"11","001",,,"002703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002703","Census Tract 27.03",,,,2567,40573.52,0.0632678607005129
"11001002704","Census Tract 27.04, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000059",,,,,"11","001",,,"002704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002704","Census Tract 27.04",,,,4084,35814.81,0.1140310302596
"11001002801","Census Tract 28.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000060",,,,,"11","001",,,"002801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002801","Census Tract 28.01",,,,4104,61830.67,0.0663748249026636
"11001002802","Census Tract 28.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000061",,,,,"11","001",,,"002802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002802","Census Tract 28.02",,,,5063,57088.98,0.0886861251866804
"11001002900","Census Tract 29, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000062",,,,,"11","001",,,"002900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002900","Census Tract 29",,,,4450,38337.39,0.116074669071826
"11001003000","Census Tract 30, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000063",,,,,"11","001",,,"003000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003000","Census Tract 30",,,,4211,51778.61,0.0813270177313563
"11001003100","Census Tract 31, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000064",,,,,"11","001",,,"003100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003100","Census Tract 31",,,,3825,33376.25,0.114602461478586
"11001003200","Census Tract 32, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000065",,,,,"11","001",,,"003200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003200","Census Tract 32",,,,5201,30072.91,0.172946361141442
"11001003301","Census Tract 33.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000066",,,,,"11","001",,,"003301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003301","Census Tract 33.01",,,,4195,24574.78,0.17070349360692
"11001003302","Census Tract 33.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000067",,,,,"11","001",,,"003302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003302","Census Tract 33.02",,,,2195,27835.43,0.0788563499135903
"11001003400","Census Tract 34, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000068",,,,,"11","001",,,"003400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003400","Census Tract 34",,,,5014,14247.72,0.351915916212739
"11001003500","Census Tract 35, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000069",,,,,"11","001",,,"003500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003500","Census Tract 35",,,,4852,32895.11,0.14749913899215
"11001003600","Census Tract 36, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000070",,,,,"11","001",,,"003600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003600","Census Tract 36",,,,4858,41169.84,0.11799900231198
"11001003701","Census Tract 37.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000071",,,,,"11","001",,,"003701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003701","Census Tract 37.01",,,,2302,34495.21,0.0667338999254051
"11001003702","Census Tract 37.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000072",,,,,"11","001",,,"003702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003702","Census Tract 37.02",,,,2518,54559.36,0.046151565180997
"11001003801","Census Tract 38.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000073",,,,,"11","001",,,"003801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003801","Census Tract 38.01",,,,1677,29164.49,0.0575014247170257
"11001003802","Census Tract 38.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000074",,,,,"11","001",,,"003802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003802","Census Tract 38.02",,,,3221,40265.04,0.0799949652276381
"11001003901","Census Tract 39.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000075",,,,,"11","001",,,"003901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003901","Census Tract 39.01",,,,2561,54947.27,0.0466083240540111
"11001003902","Census Tract 39.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000076",,,,,"11","001",,,"003902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003902","Census Tract 39.02",,,,2274,22098.86,0.102901248963316
"11001004001","Census Tract 40.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000077",,,,,"11","001",,,"004001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004001","Census Tract 40.01",,,,4785,45724.73,0.104647975202974
"11001004002","Census Tract 40.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000078",,,,,"11","001",,,"004002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004002","Census Tract 40.02",,,,3436,45694.33,0.0751953290903278
"11001004100","Census Tract 41, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000079",,,,,"11","001",,,"004100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004100","Census Tract 41",,,,2466,8098.012,0.304519171517397
"11001004201","Census Tract 42.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000080",,,,,"11","001",,,"004201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004201","Census Tract 42.01",,,,3872,49031.84,0.0789690917486876
"11001004202","Census Tract 42.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000081",,,,,"11","001",,,"004202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004202","Census Tract 42.02",,,,2601,32442.52,0.0801725722281339
"11001004300","Census Tract 43, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000082",,,,,"11","001",,,"004300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004300","Census Tract 43",,,,4054,44360.28,0.0913880682072658
"11001004401","Census Tract 44.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000083",,,,,"11","001",,,"004401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004401","Census Tract 44.01",,,,3522,36946.63,0.0953266964943467
"11001004402","Census Tract 44.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000084",,,,,"11","001",,,"004402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004402","Census Tract 44.02",,,,2517,23727.37,0.106080028170015
"11001004600","Census Tract 46, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000085",,,,,"11","001",,,"004600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004600","Census Tract 46",,,,3169,18763.74,0.168889585588814
"11001004702","Census Tract 47.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000086",,,,,"11","001",,,"004702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004702","Census Tract 47.02",,,,3727,29572.16,0.126030699756138
"11001004703","Census Tract 47.03, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000087",,,,,"11","001",,,"004703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004703","Census Tract 47.03",,,,2947,61492.5,0.0479245463685546
"11001004704","Census Tract 47.04, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000088",,,,,"11","001",,,"004704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004704","Census Tract 47.04",,,,1852,24163.43,0.0766447566552432
"11001004801","Census Tract 48.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000089",,,,,"11","001",,,"004801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004801","Census Tract 48.01",,,,3138,25620.49,0.122480104154923
"11001004802","Census Tract 48.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000090",,,,,"11","001",,,"004802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004802","Census Tract 48.02",,,,3447,30913.8,0.11150360542211
"11001004901","Census Tract 49.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000091",,,,,"11","001",,,"004901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004901","Census Tract 49.01",,,,3496,33305.37,0.104968053906041
"11001004902","Census Tract 49.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000092",,,,,"11","001",,,"004902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004902","Census Tract 49.02",,,,3533,34676.61,0.10188425583439
"11001005001","Census Tract 50.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000093",,,,,"11","001",,,"005001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005001","Census Tract 50.01",,,,2006,25852.32,0.0775945680057205
"11001005003","Census Tract 50.03, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000094",,,,,"11","001",,,"005003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005003","Census Tract 50.03",,,,1617,44488.94,0.0363461143449313
"11001005004","Census Tract 50.04, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000095",,,,,"11","001",,,"005004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005004","Census Tract 50.04",,,,4115,74448.86,0.055272842962979
"11001005202","Census Tract 52.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000096",,,,,"11","001",,,"005202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005202","Census Tract 52.02",,,,2793,29370.98,0.0950938768828273
"11001005203","Census Tract 52.03, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000097",,,,,"11","001",,,"005203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005203","Census Tract 52.03",,,,3044,84393.15,0.0360692790854629
"11001005302","Census Tract 53.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000098",,,,,"11","001",,,"005302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005302","Census Tract 53.02",,,,2558,56319.88,0.0454191293550395
"11001005303","Census Tract 53.03, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000099",,,,,"11","001",,,"005303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005303","Census Tract 53.03",,,,2723,41788.11,0.0651620779710176
"11001005501","Census Tract 55.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000100",,,,,"11","001",,,"005501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005501","Census Tract 55.01",,,,1700,26725.38,0.0636099472275547
