Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A10030_001,SE_A10030_002,SE_A10030_003,SE_A10030_004,SE_A10030_005,SE_A10030_006,SE_A10030_007,PCT_SE_A10030_002,PCT_SE_A10030_003,PCT_SE_A10030_004,PCT_SE_A10030_005,PCT_SE_A10030_006,PCT_SE_A10030_007
"11001009902","Census Tract 99.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000193",,,,,"11","001",,,"009902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001009902","Census Tract 99.02",,,,1311,195,789,262,58,0,7,14.87,60.18,19.98,4.42,0,0.53
"11001009903","Census Tract 99.03, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000194",,,,,"11","001",,,"009903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001009903","Census Tract 99.03",,,,671,71,354,210,36,0,0,10.58,52.76,31.3,5.37,0,0
"11001009904","Census Tract 99.04, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000195",,,,,"11","001",,,"009904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001009904","Census Tract 99.04",,,,1235,366,624,195,50,0,0,29.64,50.53,15.79,4.05,0,0
"11001009905","Census Tract 99.05, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000196",,,,,"11","001",,,"009905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001009905","Census Tract 99.05",,,,1351,564,383,326,11,51,16,41.75,28.35,24.13,0.81,3.77,1.18
"11001009906","Census Tract 99.06, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000197",,,,,"11","001",,,"009906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001009906","Census Tract 99.06",,,,907,355,314,219,16,3,0,39.14,34.62,24.15,1.76,0.33,0
"11001009907","Census Tract 99.07, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000198",,,,,"11","001",,,"009907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001009907","Census Tract 99.07",,,,1019,427,506,75,11,0,0,41.9,49.66,7.36,1.08,0,0
"11001010100","Census Tract 101, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000199",,,,,"11","001",,,"010100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010100","Census Tract 101",,,,1854,1221,548,85,0,0,0,65.86,29.56,4.58,0,0,0
"11001010201","Census Tract 102.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000200",,,,,"11","001",,,"010201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010201","Census Tract 102.01",,,,1728,828,821,79,0,0,0,47.92,47.51,4.57,0,0,0
"11001010202","Census Tract 102.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000201",,,,,"11","001",,,"010202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010202","Census Tract 102.02",,,,1158,351,608,199,0,0,0,30.31,52.5,17.18,0,0,0
"11001010300","Census Tract 103, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000202",,,,,"11","001",,,"010300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010300","Census Tract 103",,,,1515,356,623,353,91,92,0,23.5,41.12,23.3,6.01,6.07,0
"11001010400","Census Tract 104, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000203",,,,,"11","001",,,"010400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010400","Census Tract 104",,,,2283,1030,951,202,100,0,0,45.12,41.66,8.85,4.38,0,0
"11001010500","Census Tract 105, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000204",,,,,"11","001",,,"010500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010500","Census Tract 105",,,,2402,1100,1057,245,0,0,0,45.8,44,10.2,0,0,0
