Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_003,PCT_SE_A01001_004,PCT_SE_A01001_005,PCT_SE_A01001_006,PCT_SE_A01001_007,PCT_SE_A01001_008,PCT_SE_A01001_009,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
"110010074073","Block Group 3, Census Tract 74.07, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000549",,,,,"11","001",,,"007407","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010074073","Block Group 3",,,,1288,70,85,146,75,52,257,257,80,189,77,0,0,5.43,6.6,11.34,5.82,4.04,19.95,19.95,6.21,14.67,5.98,0,0
"110010074081","Block Group 1, Census Tract 74.08, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000550",,,,,"11","001",,,"007408","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010074081","Block Group 1",,,,1235,142,150,66,12,54,149,131,140,229,121,41,0,11.5,12.15,5.34,0.97,4.37,12.06,10.61,11.34,18.54,9.8,3.32,0
"110010074082","Block Group 2, Census Tract 74.08, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000551",,,,,"11","001",,,"007408","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010074082","Block Group 2",,,,2295,481,293,247,0,180,526,202,88,239,30,9,0,20.96,12.77,10.76,0,7.84,22.92,8.8,3.83,10.41,1.31,0.39,0
"110010074091","Block Group 1, Census Tract 74.09, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000552",,,,,"11","001",,,"007409","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010074091","Block Group 1",,,,1011,33,0,198,93,29,251,114,72,131,31,34,25,3.26,0,19.58,9.2,2.87,24.83,11.28,7.12,12.96,3.07,3.36,2.47
"110010074092","Block Group 2, Census Tract 74.09, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000553",,,,,"11","001",,,"007409","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010074092","Block Group 2",,,,1438,57,199,169,0,137,180,303,201,123,57,12,0,3.96,13.84,11.75,0,9.53,12.52,21.07,13.98,8.55,3.96,0.83,0
"110010074093","Block Group 3, Census Tract 74.09, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000554",,,,,"11","001",,,"007409","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010074093","Block Group 3",,,,1945,394,358,196,24,64,263,406,12,113,88,0,27,20.26,18.41,10.08,1.23,3.29,13.52,20.87,0.62,5.81,4.52,0,1.39
"110010075021","Block Group 1, Census Tract 75.02, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000555",,,,,"11","001",,,"007502","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010075021","Block Group 1",,,,3593,278,210,709,288,182,500,308,242,457,318,84,17,7.74,5.84,19.73,8.02,5.07,13.92,8.57,6.74,12.72,8.85,2.34,0.47
"110010075022","Block Group 2, Census Tract 75.02, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000556",,,,,"11","001",,,"007502","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010075022","Block Group 2",,,,589,51,0,40,72,124,38,0,72,84,89,0,19,8.66,0,6.79,12.22,21.05,6.45,0,12.22,14.26,15.11,0,3.23
"110010075023","Block Group 3, Census Tract 75.02, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000557",,,,,"11","001",,,"007502","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010075023","Block Group 3",,,,1042,167,96,52,70,36,101,176,97,100,92,26,29,16.03,9.21,4.99,6.72,3.45,9.69,16.89,9.31,9.6,8.83,2.5,2.78
"110010075031","Block Group 1, Census Tract 75.03, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000558",,,,,"11","001",,,"007503","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010075031","Block Group 1",,,,1312,187,48,43,303,53,172,85,151,154,86,19,11,14.25,3.66,3.28,23.09,4.04,13.11,6.48,11.51,11.74,6.55,1.45,0.84
