X,Y,OBJECTID,STORE,ADDRESS,XCOORD,YCOORD,MATCHTYPE,MAR_ID,LATITUDE,LONGITUDE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-76.9307853269965,38.8778350338599,51,Night N Day 24 Hour Store,5026 Benning Rd SE,406006.01,134446.23,Exact,14817,38.87782758,-76.93078307,HealthyCornerStorePt_51,{011A5AFD-D8F3-4B4C-857B-EA2295088C59},,,,
-76.9653733605542,38.8763900589641,52,G & G Grocery,2924 Minnesota Ave SE,403004.84,134284.12,Exact,287329,38.87638261,-76.96537109,HealthyCornerStorePt_52,{DDD9CAB5-8851-4447-B4AD-97482BD4759A},,,,
-76.969981653343,38.8727373467339,53,Dollar Plus Food Store (Penn Ave),2529 Pennsylvania Ave SE,402605.1,133878.5,Exact,302054,38.8727299,-76.96997938,HealthyCornerStorePt_53,{07A2CA7B-D959-43B2-A8DB-B425C5BE696F},,,,
-76.9880843250649,38.8675272511647,54,Grubb’s Southeast Pharmacy,1800 Martin Luther King Jr Ave SE,401034.28,133299.78,Exact,56153,38.8675198,-76.98808205,HealthyCornerStorePt_54,{BDDDF2D7-7CDE-4164-A745-1F0EEF68D86B},,,,
-76.9879071861148,38.8670313198937,55,24 Express,1223 Good Hope Rd SE,401049.66,133244.73,Exact,71043,38.86702387,-76.98790491,HealthyCornerStorePt_55,{1F1BB3EF-BE95-4117-9202-60EE99298041},,,,
-76.9848300299259,38.866908085985,56,New Seven Market,1406 Good Hope Rd SE,401316.71,133231.09,Exact,65049,38.86690064,-76.98482775,HealthyCornerStorePt_56,{C43251A3-D0AD-4D62-9A16-2AD337B3CF27},,,,
-76.9868504606066,38.8668311288588,57,Anacostia Market,1303 Good Hope Road SE,401141.37,133222.52,Exact,286027,38.86682368,-76.98684818,HealthyCornerStorePt_57,{0D6971D8-AFD9-4505-B575-29B74A8A91E0},,,,
-76.9497176150739,38.8664118455532,58,FlexCare Pharmacy,3857 Alabama Ave SE,0,0,Manual,,,,HealthyCornerStorePt_58,{A2A0D21B-B9DA-4259-B350-625E34E609AD},,,,
-76.9927817335763,38.8621971764299,59,MLK Grocery,2420 MLK Jr. Ave SE,400626.67,132708.06,Exact,47224,38.86218973,-76.99277945,HealthyCornerStorePt_59,{CAF3EFE2-AC56-4112-8C61-40A26342146E},,,,
-76.9873503425642,38.8582583222485,60,Dollar Plus Food Super Market (Howard Rd.),1453 Howard Road SE,401098.12,132270.87,Exact,286224,38.85825088,-76.98734807,HealthyCornerStorePt_60,{AE92D746-B386-4561-B051-0A3FBE4D657D},,,,
-76.9750562062379,38.8504997234429,61,Dollar Plus Grocery,2101 Alabama Ave SE,402165.42,131409.83,Exact,51905,38.85049228,-76.97505393,HealthyCornerStorePt_61,{53CCA37F-C055-4ED7-972C-7A89F2699E05},,,,
