Store Name,Store Type,Geometry,Latitude,Longitude,Address
McDonalds,fast food,"38.94455868258533, -77.07716128536701",38.944558682585,-77.077161285367,"4130 Wisconsin Ave NW, Washington, DC 20016"
McDonalds,fast food,"38.982651780949446, -77.02570438531983",38.982651780949,-77.025704385320,"7425 Georgia Ave NW, Washington, DC 20011"
McDonalds,fast food,"38.96323379561133, -77.02819347508368",38.963233795611,-77.028193475084,"5948 Georgia Ave NW, Washington, DC 20011"
McDonalds,fast food,"38.926756472451416, -77.05158233982672",38.926756472451,-77.051582339827,"2616 Connecticut Ave NW, Washington, DC 20008"
McDonalds,fast food,"38.92371828253263, -77.04218387795945",38.923718282533,-77.042183877959,"2481-83 18th St NW, Washington, DC 20009"
McDonalds,fast food,"38.917572660344916, -77.03213813686887",38.917572660345,-77.032138136869,"1944 14th St NW, Washington, DC 20009"
McDonalds,fast food,"38.91268184099882, -77.03816908335513",38.912681840999,-77.038169083355,"1619 17th St NW, Washington, DC 20009"
McDonalds,fast food,"38.90663021655451, -77.04462468801856",38.906630216555,-77.044624688019,"1916 M St NW, Washington, DC 20036"
McDonalds,fast food,"38.90028479688515, -77.03973233817892",38.900284796885,-77.039732338179,"750 17th St NW, Washington, DC 20006"
McDonalds,fast food,"38.90142033469775, -77.02969014818999",38.901420334698,-77.029690148190,"1235 New York Ave NW, Washington, DC 20005"
McDonalds,fast food,"38.89834766105758, -77.02926099477165",38.898347661058,-77.029260994772,"555 13th St NW, Washington, DC 20004"
McDonalds,fast food,"38.9242608260935, -77.02136993585698",38.924260826094,-77.021369935857,"2328 Georgia Ave NW, Washington, DC 20001"
McDonalds,fast food,"38.88819353324081, -77.01810836987767",38.888193533241,-77.018108369878,"400 C St SW, Washington, DC 20024"
McDonalds,fast food,"38.9086339156487, -77.00660705826638",38.908633915649,-77.006607058266,"424 Rhode Island Ave NE, Washington, DC 20002"
McDonalds,fast food,"38.91010325890773, -77.00643539689906",38.910103258908,-77.006435396899,"75 New York Ave NE, Washington, DC 20002"
McDonalds,fast food,"38.92025425372354, -76.9733047512433",38.920254253724,-76.973304751243,"2228 New York Ave NE, Washington, DC 20002"
McDonalds,fast food,"38.900752373352816, -76.98034286730395",38.900752373353,-76.980342867304,"1635 Benning Rd NE, Washington, DC 20002"
McDonalds,fast food,"38.88044335333929, -76.98240280371192",38.880443353339,-76.982402803712,"1539 Pennsylvania Ave. SE, Washington, DC 20003"
McDonalds,fast food,"38.95069852671315, -76.99338913068247",38.950698526713,-76.993389130682,"4950 South Dakota Ave NE, Washington, DC 20017"
McDonalds,fast food,"38.90184198171683, -76.94189608204594",38.901841981717,-76.941896082046,"4301 Nannie Helen Burroughs Ave NE, Washington, DC 20019"
McDonalds,fast food,"38.89422689653711, -76.94987833562692",38.894226896537,-76.949878335627,"3901 Minnesota Ave NE, Washington, DC 20019"
McDonalds,fast food,"38.86062739249596, -76.96878912690593",38.860627392496,-76.968789126906,"2529 Good Hope Rd SE, Washington, DC 20020"
Burger King,fast food,"38.91812544233876, -77.000582401907",38.918125442339,-77.000582401907,"2000 5th St NE, Washington, DC 20002"
Burger King,fast food,"38.842924881221414, -77.01759338697829",38.842924881221,-77.017593386978,"191 Chappie James Blvd Bolling, Washington, DC 20032"
Wendy's,fast food,"38.940535921228125, -77.02480332598971",38.940535921228,-77.024803325990,"3900 Georgia Ave NW, Washington, DC 20011"
Wendy's,fast food,"38.89926686007509, -77.00574891280155",38.899266860075,-77.005748912802,"Union Station, Lower Level Food Court, 50 Massachusetts Ave NE, Washington, DC 20002"
Wendy's,fast food,"38.90354179241406, -76.94137589713685",38.903541792414,-76.941375897137,"4250 Nannie Helen Burroughs Ave NE, Washington, DC 20019"
Taco Bell,fast food,"38.93041858928899, -77.03323404530572",38.930418589289,-77.033234045306,"3100 14th St NW Ste 103, Washington, DC 20010"
Taco Bell,fast food,"38.9006335790037, -77.00645487200185",38.900633579004,-77.006454872002,"50 Massachusetts Ave NE, Washington, DC 20002"
Popeyes,fast food,"38.946059290541974, -77.07777142635838",38.946059290542,-77.077771426358,"4309 Wisconsin Ave NW, Washington, DC 20016"
Popeyes,fast food,"38.95513722528836, -77.02884793522557",38.955137225288,-77.028847935226,"5200 Georgia Ave NW, Washington, DC 20011"
Popeyes,fast food,"38.926030323632936, -77.04069256854217",38.926030323633,-77.040692568542,"1742 Columbia Rd NW, Washington, DC 20009"
Popeyes,fast food,"38.9264309584026, -77.01357007250363",38.926430958403,-77.013570072504,"2024 Concessions Pentagon, Washington, DC 20310"
Popeyes,fast food,"38.909869502029935, -77.03210950017554",38.909869502030,-77.032109500176,"1322 14th St NW, Washington, DC 20005"
Popeyes,fast food,"38.910220136898374, -77.03223824599652",38.910220136898,-77.032238245997,"1226 H St NE, Washington, DC 20002"
Popeyes,fast food,"38.921756744943686, -76.99297070743283",38.921756744944,-76.992970707433,"1060 Brentwood Rd NE, Washington, DC 20018"
Popeyes,fast food,"38.93177253868727, -76.95915341659635",38.931772538687,-76.959153416596,"3200 Bladensburg Rd NE, Washington, DC 20018"
Popeyes,fast food,"38.89867802232751, -76.94858461837522",38.898678022328,-76.948584618375,"4020 Minnesota Ave NE, Washington, DC 20019"
Popeyes,fast food,"38.846401037859, -76.99582457732426",38.846401037859,-76.995824577324,"601 Malcolm X Ave SE, Washington, DC 20032"
Domino's,fast food,"38.950698527496606, -77.07993865210824",38.950698527497,-77.079938652108,"4539 Wisconsin Ave NW, Washington, DC 20016"
